algorithm,data_type,n,run_id,time_sec,inspections
linearSearch,desc,100,3,0.00000004,1
verificaAlgo,desc,100,4,0.21725524,12250000
linearSearch,desc,100,4,0.00000003,1
verificaAlgo,desc,100,5,0.22306424,12250000
linearSearch,desc,100,5,0.00000003,1
verificaAlgo,desc,100,6,0.22129336,12250000
linearSearch,desc,100,6,0.00000002,1
verificaAlgo,desc,100,7,0.21883173,12250000
linearSearch,desc,100,7,0.00000003,1
verificaAlgo,desc,100,8,0.21491209,12250000
linearSearch,desc,100,8,0.00000003,1
verificaAlgo,desc,100,9,0.21615211,12250000
linearSearch,desc,100,9,0.00000003,1
verificaAlgo,desc,100,10,0.19917567,12250000
linearSearch,desc,100,10,0.00000003,1
verificaAlgo,desc,100,11,0.16156525,12250000
linearSearch,desc,100,11,0.00000004,1
verificaAlgo,desc,100,12,0.16207519,12250000
linearSearch,desc,100,12,0.00000003,1
verificaAlgo,desc,100,13,0.16157587,12250000
linearSearch,desc,100,13,0.00000002,1
verificaAlgo,desc,300,1,4.67605620,111750000
linearSearch,desc,300,1,0.00000008,1
verificaAlgo,desc,300,2,4.72232994,111750000
linearSearch,desc,300,2,0.00000008,1
verificaAlgo,desc,300,3,4.69404661,111750000
linearSearch,desc,300,3,0.00000006,1
verificaAlgo,desc,300,4,4.65633684,111750000
linearSearch,desc,300,4,0.00000007,1
verificaAlgo,desc,300,5,4.65789354,111750000
linearSearch,desc,300,5,0.00000006,1
verificaAlgo,desc,300,6,4.67876183,111750000
linearSearch,desc,300,6,0.00000007,1
verificaAlgo,desc,300,7,4.70612592,111750000
linearSearch,desc,300,7,0.00000007,1
verificaAlgo,desc,300,8,4.63415309,111750000
linearSearch,desc,300,8,0.00000006,1
verificaAlgo,desc,300,9,4.64444433,111750000
linearSearch,desc,300,9,0.00000008,1
verificaAlgo,desc,300,10,4.65227576,111750000
linearSearch,desc,300,10,0.00000006,1
verificaAlgo,desc,300,11,4.65124385,111750000
linearSearch,desc,300,11,0.00000006,1
verificaAlgo,desc,300,12,4.62821603,111750000
linearSearch,desc,300,12,0.00000006,1
verificaAlgo,desc,300,13,4.65576358,111750000
linearSearch,desc,300,13,0.00000006,1
verificaAlgo,desc,500,1,20.32713411,311250000
linearSearch,desc,500,1,0.00000009,1
verificaAlgo,desc,500,2,20.27293735,311250000
linearSearch,desc,500,2,0.00000009,1
verificaAlgo,desc,500,3,20.24945575,311250000
linearSearch,desc,500,3,0.00000010,1
verificaAlgo,desc,500,4,20.17835601,311250000
linearSearch,desc,500,4,0.00000009,1
verificaAlgo,desc,500,5,20.19874107,311250000
linearSearch,desc,500,5,0.00000009,1
verificaAlgo,desc,500,6,20.20097471,311250000
linearSearch,desc,500,6,0.00000010,1
verificaAlgo,desc,500,7,20.16995182,311250000
linearSearch,desc,500,7,0.00000009,1
verificaAlgo,desc,500,8,20.11150033,311250000
linearSearch,desc,500,8,0.00000008,1
verificaAlgo,desc,500,9,20.10222402,311250000
linearSearch,desc,500,9,0.00000011,1
verificaAlgo,desc,500,10,20.19466013,311250000
linearSearch,desc,500,10,0.00000011,1
verificaAlgo,desc,500,11,20.20595826,311250000
linearSearch,desc,500,11,0.00000010,1
verificaAlgo,desc,500,12,20.12417577,311250000
linearSearch,desc,500,12,0.00000011,1
verificaAlgo,desc,500,13,20.14262131,311250000
linearSearch,desc,500,13,0.00000010,1
verificaAlgo,desc,700,1,53.86216766,610750000
linearSearch,desc,700,1,0.00000012,1
verificaAlgo,desc,700,2,53.92240251,610750000
linearSearch,desc,700,2,0.00000013,1
verificaAlgo,desc,700,3,53.90846664,610750000
linearSearch,desc,700,3,0.00000013,1
verificaAlgo,desc,700,4,53.67618581,610750000
linearSearch,desc,700,4,0.00000014,1
verificaAlgo,desc,700,5,53.69008937,610750000
linearSearch,desc,700,5,0.00000013,1
verificaAlgo,desc,700,6,53.60345248,610750000
linearSearch,desc,700,6,0.00000013,1
